Protein Accession,Transcript Accession
NP_570045.1,NM_130689.2
NP_001259199.1,NM_001272270.1
NP_570046.1,NM_130690.3
NP_001284835.1,NM_001297906.1
NP_525058.2,NM_080319.5
NP_570047.1,NM_130691.2
NP_001259200.1,NM_001272271.1
NP_476859.2,NM_057511.4
NP_001245510.1,NM_001258581.2
NP_001284836.1,NM_001297907.1
NP_652721.1,NM_144464.3
NP_477482.2,NM_058134.5
NP_570048.1,NM_130692.4
NP_001284837.1,NM_001297908.1
NP_726846.1,NM_166959.2
NP_001259203.1,NM_001272274.1
NP_726851.3,NM_166963.2
NP_726847.2,NM_166960.3
NP_001259201.1,NM_001272272.1
NP_726856.1,NM_166968.3
NP_726849.1,NM_166961.2
NP_726852.2,NM_166964.2
NP_726853.2,NM_166965.2
NP_726850.1,NM_166962.2
NP_001259202.1,NM_001272273.1
NP_726854.2,NM_166966.3
NP_726855.1,NM_166967.2
NP_726857.1,NM_166969.2
NP_726858.2,NM_166970.2
NP_525061.2,NM_080322.3
NP_726859.2,NM_166971.2
NP_570050.1,NM_130694.3
NP_476941.2,NM_057593.4
NP_525060.1,NM_080321.1
NP_476655.1,NM_057307.2
NP_476944.1,NM_057596.4
NP_476677.2,NM_057329.4
NP_476717.4,NM_057369.4
NP_570054.2,NM_130698.2
NP_001259204.1,NM_001272275.1
NP_525062.2,NM_080323.4
NP_001284838.1,NM_001297909.1
NP_570055.2,NM_130699.2
NP_726860.1,NM_166972.2
NP_001259205.1,NM_001272276.1
NP_001259206.1,NM_001272277.1
NP_001259207.1,NM_001272278.1
NP_570056.1,NM_130700.2
NP_570057.1,NM_130701.2
NP_570058.1,NM_130702.3
NP_001259210.1,NM_001272281.1
NP_570059.2,NM_130703.3
NP_001259211.1,NM_001272282.1
NP_570060.1,NM_130704.2
NP_726865.1,NM_166973.2
NP_726866.1,NM_166974.1
NP_001284839.1,NM_001297910.1
NP_570061.1,NM_130705.2
NP_726868.1,NM_166975.2
NP_001138150.1,NM_001144678.2
NP_570062.1,NM_130706.3
NP_001259212.1,NM_001272283.1
NP_570063.1,NM_130707.2
NP_001259216.1,NM_001272287.1
NP_001259215.1,NM_001272286.1
NP_001259213.1,NM_001272284.2
NP_001259214.1,NM_001272285.2
NP_570064.1,NM_130708.4
NP_001284841.1,NM_001297912.1
NP_001284840.1,NM_001297911.1
NP_570065.2,NM_130709.2
NP_001259218.1,NM_001272289.1
NP_001259217.1,NM_001272288.2
NP_726871.1,NM_166976.3
NP_570067.1,NM_130711.3
NP_726872.1,NM_166977.2
NP_001138151.2,NM_001144679.2
NP_001036260.3,NM_001042795.3
NP_001259219.1,NM_001272290.1
NP_726876.1,NM_166981.2
NP_570069.1,NM_130713.3
NP_524700.1,NM_079961.4
NP_726877.2,NM_166982.2
NP_570070.1,NM_130714.2
NP_477321.2,NM_057973.4
NP_001245511.1,NM_001258582.2
NP_001162651.1,NM_001169180.1
NP_001245512.1,NM_001258583.2
NP_001162653.1,NM_001169182.3
NP_001162652.1,NM_001169181.3
NP_726880.1,NM_166984.3
NP_001162654.1,NM_001169183.2
NP_001284842.1,NM_001297913.1
NP_001245513.1,NM_001258584.2
NP_570071.3,NM_130715.4
NP_726879.1,NM_166983.3
NP_525063.1,NM_080324.4
NP_726881.1,NM_166985.3
NP_726882.1,NM_166986.3
NP_001138152.1,NM_001144680.3
NP_001368971.1,NM_001382078.1
NP_001401053.1,NM_001414088.1
NP_001138154.1,NM_001144682.2
NP_001259221.1,NM_001272292.1
NP_001162655.1,NM_001169184.2
NP_996343.5,NM_206620.6
NP_001259220.1,NM_001272291.1
NP_001096873.1,NM_001103403.1
NP_001284843.1,NM_001297914.1
NP_001259222.1,NM_001272293.1
NP_001138153.1,NM_001144681.3
NP_001138155.1,NM_001144683.1
NP_570073.3,NM_130717.5
NP_726885.1,NM_166988.4
NP_726886.1,NM_166989.5
NP_001014719.2,NM_001014719.2
NP_726887.1,NM_166990.4
NP_570074.3,NM_130718.5
NP_001356931.1,NM_001370027.1
NP_726889.3,NM_166991.3
NP_570078.2,NM_130722.4
NP_726893.2,NM_166992.3
NP_001096877.1,NM_001103407.3
NP_570077.1,NM_130721.3
NP_001284844.1,NM_001297915.1
NP_477147.2,NM_057799.4
NP_726894.1,NM_166993.2
NP_477148.2,NM_057800.4
NP_001284846.1,NM_001297917.1
NP_788855.1,NM_176682.2
NP_788857.1,NM_176684.3
NP_788856.1,NM_176683.3
NP_001284845.1,NM_001297916.1
NP_570080.1,NM_130724.4
NP_570081.2,NM_130725.3
NP_001259224.1,NM_001272295.1
NP_001259225.1,NM_001272296.1
NP_001033829.2,NM_001038740.3
NP_996345.3,NM_206622.4
NP_001284847.1,NM_001297918.1
NP_001259226.1,NM_001272297.2
NP_570085.1,NM_130729.4
NP_001284848.1,NM_001297919.1
NP_570086.1,NM_130730.2
NP_726900.2,NM_166997.2
NP_726901.2,NM_166998.2
NP_996346.2,NM_206623.2
NP_570087.1,NM_130731.3
NP_996348.1,NM_206625.2
NP_996347.1,NM_206624.2
NP_001284849.1,NM_001297920.1
NP_525064.1,NM_080325.4
NP_570088.1,NM_130732.2
NP_001303565.1,NM_001316636.1
NP_570089.1,NM_130733.2
NP_001356932.1,NM_001370021.1
NP_001284850.1,NM_001297921.1
NP_001259230.1,NM_001272301.2
NP_001259229.1,NM_001272300.2
NP_001259227.1,NM_001272298.2
NP_001259228.1,NM_001272299.2
NP_726905.2,NM_167000.4
NP_001284851.1,NM_001297922.1
NP_572148.2,NM_131920.4
NP_572149.2,NM_131921.3
NP_476866.1,NM_057518.4
NP_476901.1,NM_057553.5
NP_001284852.1,NM_001297923.1
NP_726908.1,NM_167001.3
NP_726909.1,NM_167002.3
NP_525065.1,NM_080326.4
NP_001245516.1,NM_001258587.1
NP_652007.1,NM_143750.3
NP_001259231.1,NM_001272302.1
NP_001259232.1,NM_001272303.1
NP_572150.1,NM_131922.3
NP_572151.1,NM_131923.4
NP_001259233.1,NM_001272304.1
NP_001259234.1,NM_001272305.1
NP_001162657.1,NM_001169186.2
NP_572152.2,NM_131924.3
NP_001162658.2,NM_001169187.2
NP_001284853.1,NM_001297924.2
NP_001245519.1,NM_001258590.2
NP_001245520.1,NM_001258591.2
NP_001162660.1,NM_001169189.3
NP_001245521.1,NM_001258592.2
NP_001245518.1,NM_001258589.2
NP_001245517.1,NM_001258588.2
NP_001162659.2,NM_001169188.3
NP_726910.1,NM_167003.3
NP_001259237.1,NM_001272308.2
NP_001259235.1,NM_001272306.1
NP_525066.1,NM_080327.3
NP_001284854.1,NM_001297925.1
NP_001284855.1,NM_001297926.1
NP_726911.1,NM_167004.2
NP_726912.1,NM_167005.2
NP_001245522.1,NM_001258593.2
NP_572153.1,NM_131925.3
NP_572154.1,NM_131926.2
NP_525067.2,NM_080328.4
NP_001284856.1,NM_001297927.1
NP_726915.2,NM_167006.3
NP_001245524.1,NM_001258595.1
NP_001245523.1,NM_001258594.1
NP_001245525.1,NM_001258596.1
NP_572156.1,NM_131928.2
NP_572157.1,NM_131929.2
NP_572158.1,NM_131930.2
NP_652513.1,NM_144256.2
NP_652514.1,NM_144257.2
NP_001284857.1,NM_001297928.1
NP_572159.1,NM_131931.2
NP_001284858.1,NM_001297929.1
NP_652515.1,NM_144258.2
NP_525068.1,NM_080329.3
NP_001284859.1,NM_001297930.1
NP_572160.1,NM_131932.4
NP_726923.1,NM_167007.3
NP_524981.2,NM_080242.4
NP_001162661.1,NM_001169190.2
NP_001014720.1,NM_001014720.2
NP_726925.1,NM_167008.2
NP_001284860.1,NM_001297931.1
NP_525069.2,NM_080330.4
NP_001014721.1,NM_001014721.3
NP_572161.1,NM_131933.2
NP_572162.2,NM_131934.2
NP_525070.2,NM_080331.3
NP_001284861.1,NM_001297932.1
NP_001162662.1,NM_001169191.1
NP_001259238.1,NM_001272309.2
NP_001245527.1,NM_001258598.3
NP_001245528.1,NM_001258599.2
NP_001162663.1,NM_001169192.2
NP_001245529.1,NM_001258600.2
NP_572164.2,NM_131936.3
NP_001259239.1,NM_001272310.1
NP_525071.2,NM_080332.4
NP_001162664.2,NM_001169193.2
NP_001284862.1,NM_001297933.1
NP_572165.1,NM_131937.4
NP_572166.1,NM_131938.2
NP_726931.2,NM_167010.3
NP_572167.3,NM_131939.6
NP_572168.1,NM_131940.2
NP_572169.1,NM_131941.4
NP_572170.1,NM_131942.3
NP_001284863.1,NM_001297934.1
NP_572171.1,NM_131943.5
NP_572172.1,NM_131944.2
NP_572173.1,NM_131945.2
NP_001014722.1,NM_001014722.2
NP_476674.3,NM_057326.5
NP_572174.3,NM_131946.3
NP_001259240.1,NM_001272311.1
NP_001284864.1,NM_001297935.1
NP_726937.3,NM_167011.4
NP_572175.3,NM_131947.4
NP_525072.2,NM_080333.3
NP_001284865.1,NM_001297936.1
NP_572176.2,NM_131948.2
NP_572177.2,NM_131949.3
NP_476989.2,NM_057641.3
NP_001259243.1,NM_001272314.1
NP_525073.1,NM_080334.4
NP_001284866.1,NM_001297937.1
NP_572178.1,NM_131950.4
NP_726938.1,NM_167012.3
NP_524750.2,NM_080011.3
NP_572179.1,NM_131951.2
NP_001162666.2,NM_001169195.2
NP_572180.1,NM_131952.3
NP_001162665.1,NM_001169194.2
NP_524852.2,NM_080113.3
NP_726941.1,NM_167013.2
NP_001284867.1,NM_001297938.1
NP_525074.2,NM_080335.3
NP_726942.1,NM_167014.3
NP_726943.1,NM_167015.3
NP_001245530.1,NM_001258601.3
NP_001356933.1,NM_001370042.1
NP_525075.1,NM_080336.5
NP_726946.1,NM_167018.2
NP_726945.1,NM_167017.3
NP_726947.1,NM_167019.2
NP_572181.4,NM_131953.5
NP_572182.1,NM_131954.1
NP_572183.1,NM_131955.2
NP_001014723.1,NM_001014723.2
NP_726950.1,NM_167020.2
NP_001014724.1,NM_001014724.2
NP_001284868.1,NM_001297939.1
NP_572184.1,NM_131956.3
NP_572185.1,NM_131957.2
NP_572186.1,NM_131958.2
NP_001138156.1,NM_001144684.2
NP_572187.2,NM_131959.3
NP_572188.1,NM_131960.2
NP_001259246.1,NM_001272317.1
NP_001401056.1,NM_001414071.1
NP_001401054.1,NM_001414069.1
NP_001401055.1,NM_001414070.1
NP_001259245.1,NM_001272316.1
NP_572189.1,NM_131961.2
NP_572190.1,NM_131962.2
NP_001284869.1,NM_001297940.1
NP_001162667.1,NM_001169196.3
NP_001162668.2,NM_001169197.3
NP_572191.2,NM_131963.2
NP_572194.1,NM_131966.2
NP_001284870.1,NM_001297941.1
NP_572196.3,NM_131968.5
NP_001284871.1,NM_001297942.1
NP_001096879.2,NM_001103409.2
NP_572197.4,NM_131969.5
NP_572198.1,NM_131970.1
NP_001284872.1,NM_001297943.1
NP_001096880.1,NM_001103410.3
NP_996350.1,NM_206627.3
NP_001259248.1,NM_001272319.1
NP_001096881.1,NM_001103411.3
NP_001096882.1,NM_001103412.2
NP_572199.2,NM_131971.4
NP_001259247.1,NM_001272318.2
NP_001284874.1,NM_001297945.1
NP_001162669.1,NM_001169198.2
NP_525076.2,NM_080337.3
NP_001162671.2,NM_001169200.2
NP_001284875.1,NM_001297946.1
NP_726967.1,NM_167024.3
NP_001162672.1,NM_001169201.2
NP_001162670.1,NM_001169199.2
NP_572200.2,NM_131972.2
NP_001284876.1,NM_001297947.1
NP_572201.2,NM_131973.3
NP_001162673.1,NM_001169202.2
NP_726971.1,NM_167026.4
NP_726972.1,NM_167027.4
NP_525077.2,NM_080338.5
NP_001033831.1,NM_001038742.3
NP_001259250.1,NM_001272321.1
NP_996351.1,NM_206628.2
NP_001259249.1,NM_001272320.1
NP_001162675.1,NM_001169204.2
NP_572203.2,NM_131975.5
NP_001162674.1,NM_001169203.2
NP_001284878.1,NM_001297949.1
NP_001284879.1,NM_001297950.1
NP_001138158.2,NM_001144686.2
NP_001138159.2,NM_001144687.2
NP_001036261.3,NM_001042796.3
NP_001138157.2,NM_001144685.2
NP_726978.2,NM_167028.3
NP_001284877.1,NM_001297948.1
NP_572206.1,NM_131978.3
NP_572205.1,NM_131977.2
NP_572207.1,NM_131979.2
NP_001284880.1,NM_001297951.1
NP_001188545.1,NM_001201616.2
NP_572209.1,NM_131981.3
NP_572210.1,NM_131982.3
NP_572211.1,NM_131983.2
NP_511044.1,NM_078489.3
NP_511045.1,NM_078490.4
NP_001284881.1,NM_001297952.1
NP_572212.1,NM_131984.1
NP_001284882.1,NM_001297953.1
NP_511046.1,NM_078491.3
NP_572213.1,NM_131985.3
NP_001284883.1,NM_001297954.1
NP_572214.2,NM_131986.2
NP_572215.1,NM_131987.4
NP_001096884.1,NM_001103414.3
NP_996353.1,NM_206630.3
NP_511047.2,NM_078492.4
NP_001096883.3,NM_001103413.3
NP_511048.2,NM_078493.4
NP_001284884.1,NM_001297955.1
NP_001284885.1,NM_001297956.1
NP_572216.1,NM_131988.3
NP_572217.1,NM_131989.4
NP_001245531.1,NM_001258602.1
NP_524741.1,NM_080002.4
NP_996354.2,NM_206631.4
NP_001259253.1,NM_001272324.2
NP_001259252.1,NM_001272323.2
NP_001284887.1,NM_001297958.1
NP_001259251.1,NM_001272322.1
NP_726986.3,NM_167029.3
NP_001284889.1,NM_001297960.1
NP_726988.3,NM_167031.3
NP_001096885.2,NM_001103415.2
NP_726989.3,NM_167032.2
NP_001284886.1,NM_001297957.1
NP_525078.3,NM_080339.3
NP_001284888.1,NM_001297959.1
NP_726987.2,NM_167030.2
NP_572219.1,NM_131991.3
NP_726992.2,NM_167034.2
NP_572221.1,NM_131993.4
NP_726991.1,NM_167033.3
NP_001245532.1,NM_001258603.2
NP_726995.1,NM_167037.2
NP_001284890.1,NM_001297961.1
NP_572220.1,NM_131992.3
NP_726993.1,NM_167035.2
NP_726994.1,NM_167036.2
NP_572222.2,NM_131994.3
NP_001284891.1,NM_001297962.1
NP_572223.1,NM_131995.2
NP_001368972.1,NM_001382034.1
NP_572225.1,NM_131997.2
NP_001284893.1,NM_001297964.1
NP_001284892.1,NM_001297963.1
NP_726999.2,NM_167038.2
NP_572226.2,NM_131998.3
NP_001284894.1,NM_001297965.1
NP_727000.1,NM_167039.2
NP_001284895.1,NM_001297966.1
NP_572227.1,NM_131999.2
NP_001284896.1,NM_001297967.1
NP_572228.1,NM_132000.3
NP_001033832.1,NM_001038743.1
NP_001284897.1,NM_001297968.1
NP_001284898.1,NM_001297969.1
NP_572232.2,NM_132004.3
NP_572233.2,NM_132005.3
NP_001096887.1,NM_001103417.2
NP_572235.1,NM_132007.4
NP_727007.1,NM_167040.4
NP_511049.1,NM_078494.4
NP_001245533.1,NM_001258604.2
NP_572236.3,NM_132008.4
NP_001259255.1,NM_001272326.1
NP_001259254.1,NM_001272325.1
NP_572237.1,NM_132009.4
NP_001259257.1,NM_001272328.1
NP_001259256.1,NM_001272327.1
NP_001162676.1,NM_001169205.2
NP_001138161.2,NM_001144689.3
NP_001138160.2,NM_001144688.3
NP_001303575.1,NM_001316646.1
NP_572241.2,NM_132013.3
NP_727013.2,NM_167041.3
NP_727014.2,NM_167042.3
NP_001284899.1,NM_001297970.1
NP_572242.1,NM_132014.3
NP_524744.2,NM_080005.4
NP_001284900.1,NM_001297971.1
NP_572243.1,NM_132015.3
NP_727016.1,NM_167043.3
NP_524792.1,NM_080053.4
NP_001284901.1,NM_001297972.1
NP_001245534.1,NM_001258605.1
NP_511050.1,NM_078495.3
NP_001162677.1,NM_001169206.2
NP_572244.1,NM_132016.3
NP_572245.1,NM_132017.2
NP_536786.1,NM_080525.3
NP_001284903.1,NM_001297974.1
NP_001284902.1,NM_001297973.1
NP_572246.1,NM_132018.3
NP_572247.2,NM_132019.3
NP_001162678.1,NM_001169207.1
NP_788858.1,NM_176685.2
NP_001284904.1,NM_001297975.1
NP_001284905.1,NM_001297976.1
NP_788859.1,NM_176686.2
NP_001284906.1,NM_001297977.1
NP_001259258.1,NM_001272329.2
NP_727023.1,NM_167045.3
NP_572251.1,NM_132023.2
NP_001245535.1,NM_001258606.2
NP_001259261.1,NM_001272332.1
NP_001259260.1,NM_001272331.1
NP_572253.2,NM_132025.3
NP_001259259.1,NM_001272330.1
NP_727026.1,NM_167047.2
NP_001259262.1,NM_001272333.1
NP_572254.1,NM_132026.2
NP_001284907.1,NM_001297978.1
NP_572255.1,NM_132027.3
NP_001284908.1,NM_001297979.1
NP_572256.1,NM_132028.3
NP_001284909.1,NM_001297980.1
NP_572257.2,NM_132029.4
NP_788860.3,NM_176687.3
NP_524769.1,NM_080030.5
NP_788861.1,NM_176688.3
NP_001188547.1,NM_001201618.1
NP_001245536.1,NM_001258607.2
NP_572263.2,NM_132035.3
NP_572259.1,NM_132031.3
NP_001245537.1,NM_001258608.1
NP_572260.2,NM_132032.3
NP_572262.1,NM_132034.2
NP_572264.1,NM_132036.2
NP_572265.1,NM_132037.4
NP_572266.1,NM_132038.2
NP_572267.1,NM_132039.3
NP_001284910.1,NM_001297981.1
NP_572268.1,NM_132040.2
NP_572269.1,NM_132041.3
NP_001259263.1,NM_001272334.1
NP_572271.1,NM_132043.1
NP_001245538.1,NM_001258609.2
NP_001245539.1,NM_001258610.2
NP_001284911.1,NM_001297982.1
NP_572272.1,NM_132044.2
NP_572273.2,NM_132045.4
NP_511051.1,NM_078496.3
NP_572274.1,NM_132046.3
NP_001284912.1,NM_001297983.1
NP_572275.1,NM_132047.3
NP_001284913.1,NM_001297984.1
NP_001284914.1,NM_001297985.1
NP_001284915.1,NM_001297986.1
NP_001014726.1,NM_001014726.2
NP_001014725.1,NM_001014725.2
NP_727048.1,NM_167053.2
NP_511052.1,NM_078497.4
NP_001259264.1,NM_001272335.1
NP_572276.1,NM_132048.3
NP_727050.1,NM_167054.2
NP_572277.2,NM_132049.5
NP_572278.1,NM_132050.2
NP_001284916.1,NM_001297987.1
NP_001138162.1,NM_001144690.2
NP_001284917.1,NM_001297988.1
NP_572279.1,NM_132051.2
NP_001284918.1,NM_001297989.1
NP_572280.2,NM_132052.4
NP_001284919.1,NM_001297990.1
NP_727053.1,NM_167055.3
NP_572281.1,NM_132053.2
NP_727055.1,NM_167056.2
NP_572282.1,NM_132054.2
NP_572283.1,NM_132055.2
NP_572284.4,NM_132056.5
NP_572285.2,NM_132057.3
NP_001284920.1,NM_001297991.1
NP_001284921.1,NM_001297992.1
NP_001284922.1,NM_001297993.1
NP_572286.1,NM_132058.3
NP_572287.1,NM_132059.3
NP_651971.2,NM_143714.4
NP_001245540.1,NM_001258611.1
NP_511053.2,NM_078498.4
NP_572288.1,NM_132060.4
NP_001245541.1,NM_001258612.2
NP_572289.2,NM_132061.3
NP_001096888.2,NM_001103418.3
NP_572290.2,NM_132062.3
NP_727061.2,NM_167058.3
NP_001259265.1,NM_001272336.1
NP_001245542.1,NM_001258613.2
NP_001245543.1,NM_001258614.2
NP_001033834.1,NM_001038745.2
NP_572291.2,NM_132063.4
NP_511054.4,NM_078499.5
NP_001138163.1,NM_001144691.2
NP_001259266.1,NM_001272337.1
NP_001284923.1,NM_001297994.1
NP_572292.1,NM_132064.4
NP_572293.1,NM_132065.2
NP_001284924.1,NM_001297995.1
NP_572294.2,NM_132066.2
NP_511055.1,NM_078500.4
NP_001284926.1,NM_001297997.1
NP_727065.1,NM_167059.2
NP_511056.2,NM_078501.3
NP_001284925.1,NM_001297996.1
NP_001259267.1,NM_001272338.1
NP_001245545.1,NM_001258616.1
NP_001245544.1,NM_001258615.1
NP_001096889.1,NM_001103419.2
NP_572296.2,NM_132068.3
NP_727067.1,NM_167060.3
NP_001284927.1,NM_001297998.1
NP_727068.1,NM_167061.3
NP_001245546.1,NM_001258617.2
NP_572297.1,NM_132069.3
NP_572298.1,NM_132070.3
NP_572299.1,NM_132071.3
NP_727071.1,NM_167062.3
NP_511057.1,NM_078502.3
NP_001284930.1,NM_001298001.1
NP_001284929.1,NM_001298000.1
NP_001284928.1,NM_001297999.1
NP_001284931.1,NM_001298002.1
NP_001245547.1,NM_001258618.2
NP_001284932.1,NM_001298003.1
NP_001284933.1,NM_001298004.1
NP_572300.2,NM_132072.4
NP_001284934.1,NM_001298005.1
NP_001284935.1,NM_001298006.1
NP_572301.2,NM_132073.4
NP_001096890.1,NM_001103420.3
NP_572302.2,NM_132074.3
NP_511058.1,NM_078503.5
NP_727075.1,NM_167063.3
NP_652526.1,NM_144269.4
NP_572303.4,NM_132075.4
NP_651962.2,NM_143705.3
NP_001284936.1,NM_001298007.1
NP_572304.5,NM_132076.7
NP_001245548.1,NM_001258619.2
NP_996355.1,NM_206632.3
NP_001284937.1,NM_001298008.1
NP_727078.1,NM_167065.3
NP_572306.1,NM_132078.2
NP_001284938.1,NM_001298009.1
NP_511059.2,NM_078504.4
NP_572307.1,NM_132079.4
NP_572308.3,NM_132080.4
NP_001245549.1,NM_001258620.2
NP_572309.2,NM_132081.4
NP_001027041.1,NM_001031870.2
NP_001284939.1,NM_001298010.1
NP_727085.2,NM_167069.2
NP_572311.1,NM_132083.4
NP_572312.1,NM_132084.3
NP_572313.1,NM_132085.2
NP_001096891.1,NM_001103421.2
NP_572314.1,NM_132086.2
NP_001284941.1,NM_001298012.1
NP_001284940.1,NM_001298011.1
NP_001284942.1,NM_001298013.1
NP_001259269.1,NM_001272340.2
NP_001138164.1,NM_001144692.2
NP_001259271.1,NM_001272342.2
NP_001259270.1,NM_001272341.1
NP_572316.1,NM_132088.3
NP_996356.1,NM_206633.3
NP_572317.2,NM_132089.4
NP_001303559.1,NM_001316630.1
NP_572318.1,NM_132090.3
NP_001284943.1,NM_001298014.1
NP_727091.1,NM_167072.2
NP_572319.2,NM_132091.3
NP_511060.2,NM_078505.4
NP_572320.2,NM_132092.3
NP_996357.1,NM_206634.2
NP_996358.2,NM_206635.3
NP_001259273.1,NM_001272344.1
NP_001259274.1,NM_001272345.1
NP_001259272.1,NM_001272343.1
NP_511061.1,NM_078506.3
NP_001027042.2,NM_001031871.3
NP_001027043.2,NM_001031872.2
NP_001027044.2,NM_001031873.3
NP_001259275.1,NM_001272346.1
NP_001138165.1,NM_001144693.2
NP_001368973.1,NM_001382086.1
NP_572321.3,NM_132093.3
NP_001027045.2,NM_001031874.3
NP_001027046.2,NM_001031875.4
NP_001027047.2,NM_001031876.3
NP_572323.1,NM_132095.4
NP_572324.1,NM_132096.5
NP_511062.1,NM_078507.2
NP_001284945.1,NM_001298016.1
NP_727094.1,NM_167073.3
NP_511063.1,NM_078508.6
NP_001284944.1,NM_001298015.1
NP_727096.1,NM_167075.2
NP_511064.2,NM_078509.3
NP_001162679.1,NM_001169208.3
NP_001259279.1,NM_001272350.1
NP_001259283.1,NM_001272354.1
NP_001162680.1,NM_001169209.3
NP_001259282.1,NM_001272353.1
NP_001259280.1,NM_001272351.1
NP_001259281.1,NM_001272352.1
NP_001096893.1,NM_001103423.3
NP_001096895.1,NM_001103425.3
NP_001259284.1,NM_001272355.1
NP_001096896.1,NM_001103426.3
NP_001188549.1,NM_001201620.2
NP_001096892.1,NM_001103422.2
NP_001284947.1,NM_001298018.1
NP_001188548.1,NM_001201619.3
NP_001259276.1,NM_001272347.1
NP_001284948.1,NM_001298019.1
NP_001259277.1,NM_001272348.1
NP_001259278.1,NM_001272349.1
NP_001284946.1,NM_001298017.1
NP_996359.2,NM_206636.2
NP_572327.1,NM_132099.3
NP_727100.1,NM_167078.2
NP_572328.1,NM_132100.5
NP_001259286.1,NM_001272357.2
NP_001259285.1,NM_001272356.2
NP_572329.3,NM_132101.4
NP_727101.1,NM_167079.2
NP_001284949.1,NM_001298020.1
NP_572331.2,NM_132103.3
NP_001245550.1,NM_001258621.2
NP_572330.2,NM_132102.2
NP_572332.1,NM_132104.4
NP_727103.1,NM_167080.2
NP_001284950.1,NM_001298021.1
NP_572335.1,NM_132107.4
NP_572336.2,NM_132108.3
NP_001245551.1,NM_001258622.2
NP_001245552.1,NM_001258623.2
NP_001245553.1,NM_001258624.1
NP_572337.1,NM_132109.2
NP_511065.1,NM_078510.3
NP_572338.1,NM_132110.2
NP_001027048.1,NM_001031877.2
NP_001284951.1,NM_001298022.1
NP_572339.1,NM_132111.3
NP_727108.1,NM_167081.3
NP_727109.2,NM_167082.4
NP_001027049.1,NM_001031878.2
NP_001027051.1,NM_001031880.3
NP_001027050.1,NM_001031879.3
NP_001027052.1,NM_001031881.3
NP_001027054.1,NM_001031883.3
NP_572340.2,NM_132112.5
NP_727110.1,NM_167083.4
NP_001027053.1,NM_001031882.3
NP_001284952.1,NM_001298023.1
NP_001284953.1,NM_001298024.1
NP_572341.1,NM_132113.4
NP_572342.1,NM_132114.2
NP_001284956.1,NM_001298027.1
NP_001284954.1,NM_001298025.1
NP_001162681.1,NM_001169210.2
NP_001284955.1,NM_001298026.1
NP_572343.1,NM_132115.3
NP_001259287.1,NM_001272358.1
NP_572344.2,NM_132116.4
NP_001259290.1,NM_001272361.2
NP_001259289.1,NM_001272360.2
NP_001259288.1,NM_001272359.2
NP_001284960.1,NM_001298031.1
NP_727117.1,NM_167086.2
NP_001284957.1,NM_001298028.1
NP_572345.1,NM_132117.2
NP_001284958.1,NM_001298029.1
NP_727116.1,NM_167085.3
NP_001284959.1,NM_001298030.1
NP_727119.1,NM_167088.2
NP_727120.1,NM_167089.2
NP_572346.1,NM_132118.3
NP_727118.1,NM_167087.1
NP_001284961.1,NM_001298032.1
NP_001188550.1,NM_001201621.2
NP_001188551.1,NM_001201622.2
NP_572347.1,NM_132119.3
NP_572348.1,NM_132120.2
NP_727123.1,NM_167090.2
NP_001284962.1,NM_001298033.1
NP_651967.2,NM_143710.3
NP_001284964.1,NM_001298035.1
NP_001284965.1,NM_001298036.1
NP_572349.1,NM_132121.3
NP_001284963.1,NM_001298034.1
NP_001284966.1,NM_001298037.1
NP_788867.1,NM_176694.3
NP_001259291.1,NM_001272362.1
NP_001138167.1,NM_001144695.3
NP_001259293.1,NM_001272364.1
NP_001138168.1,NM_001144696.3
NP_001138169.1,NM_001144697.2
NP_001138166.1,NM_001144694.2
NP_001259292.1,NM_001272363.1
NP_572350.2,NM_132122.5
NP_001245554.1,NM_001258625.2
NP_727125.1,NM_167091.3
NP_001096897.1,NM_001103427.3
NP_727126.1,NM_167092.3
NP_727127.1,NM_167093.2
NP_572352.1,NM_132124.5
NP_727128.1,NM_167094.2
NP_572353.1,NM_132125.2
NP_572354.1,NM_132126.3
NP_572355.1,NM_132127.4
NP_572356.1,NM_132128.3
NP_001284967.1,NM_001298038.1
NP_727132.1,NM_167095.3
NP_572358.1,NM_132130.2
NP_001162682.2,NM_001169211.2
NP_572359.2,NM_132131.4
NP_572360.1,NM_132132.3
NP_572361.1,NM_132133.3
NP_572362.1,NM_132134.4
NP_001162683.1,NM_001169212.2
NP_001284969.1,NM_001298040.1
NP_001284968.1,NM_001298039.1
NP_572363.1,NM_132135.2
NP_001284971.1,NM_001298042.1
NP_001284970.1,NM_001298041.1
NP_001284972.1,NM_001298043.1
NP_001259298.1,NM_001272369.2
NP_001259296.1,NM_001272367.2
NP_001027059.1,NM_001031888.2
NP_001259294.1,NM_001272365.1
NP_001259295.1,NM_001272366.1
NP_001259297.1,NM_001272368.2
NP_001027058.1,NM_001031887.2
NP_001027060.1,NM_001031889.2
NP_001284973.1,NM_001298044.1
NP_001368974.1,NM_001382030.1
NP_572369.3,NM_132141.5
NP_727144.1,NM_167100.3
NP_572371.1,NM_132143.3
NP_572372.1,NM_132144.3
NP_001245557.1,NM_001258628.3
NP_001245558.1,NM_001258629.2
NP_001259300.1,NM_001272371.1
NP_524824.1,NM_080085.5
NP_727147.1,NM_167101.3
NP_001259299.1,NM_001272370.1
NP_572373.1,NM_132145.4
NP_788872.1,NM_176699.3
NP_001259301.1,NM_001272372.1
NP_727150.1,NM_167104.3
NP_572375.1,NM_132147.4
NP_001162684.1,NM_001169213.2
